epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1110.18,0.72219,0.49167,0.92597,0.69983,0.60728,0.65642,0.36169,1.46059,1.14839,1.4135,0.000557,0.000557,0.000557
44,1130.11,0.71565,0.47964,0.92104,0.72147,0.61375,0.67612,0.37731,1.49205,1.10796,1.41012,0.0005405,0.0005405,0.0005405
45,1150.56,0.69952,0.47591,0.91498,0.75364,0.59196,0.6762,0.38098,1.40367,1.04073,1.3845,0.000524,0.000524,0.000524
46,1171.35,0.70327,0.47904,0.91534,0.71667,0.61623,0.67113,0.37211,1.46781,1.10794,1.39906,0.0005075,0.0005075,0.0005075
47,1192.91,0.6902,0.46434,0.91076,0.77015,0.6081,0.68936,0.38616,1.43446,1.07042,1.38906,0.000491,0.000491,0.000491
48,1213.88,0.69704,0.46808,0.91958,0.69375,0.62536,0.67618,0.37912,1.44502,1.09179,1.39506,0.0004745,0.0004745,0.0004745
49,1234.96,0.66398,0.45,0.90344,0.76742,0.62913,0.6957,0.38747,1.42289,1.04825,1.38579,0.000458,0.000458,0.000458
50,1255.71,0.67605,0.45442,0.91906,0.80881,0.61644,0.69127,0.38497,1.42555,1.04776,1.39236,0.0004415,0.0004415,0.0004415
51,1276.7,0.6666,0.44827,0.9147,0.7628,0.63294,0.6974,0.39105,1.41689,1.05828,1.37712,0.000425,0.000425,0.000425
52,1297.86,0.65866,0.44823,0.91238,0.76284,0.6331,0.68754,0.38854,1.40611,1.05934,1.37795,0.0004085,0.0004085,0.0004085
53,1318.67,0.63763,0.42812,0.90298,0.71535,0.6389,0.68943,0.38845,1.40203,1.04889,1.36074,0.000392,0.000392,0.000392
54,1340.13,0.64251,0.43035,0.90006,0.82866,0.60563,0.70961,0.40183,1.35556,0.97482,1.35795,0.0003755,0.0003755,0.0003755
55,1360.79,0.64057,0.43288,0.90952,0.73449,0.62085,0.67545,0.37342,1.42948,1.1089,1.40983,0.000359,0.000359,0.000359
56,1381.67,0.62663,0.42322,0.90568,0.779,0.63721,0.70631,0.40014,1.36834,0.9831,1.37115,0.0003425,0.0003425,0.0003425
57,1402.51,0.63449,0.43075,0.90229,0.72405,0.66524,0.698,0.39103,1.38117,1.02227,1.37648,0.000326,0.000326,0.000326
58,1423.62,0.62016,0.42456,0.905,0.77279,0.6472,0.70043,0.39364,1.39624,1.05068,1.37161,0.0003095,0.0003095,0.0003095
59,1444.96,0.60908,0.41232,0.89696,0.8268,0.63909,0.72796,0.41214,1.35539,0.91675,1.34997,0.000293,0.000293,0.000293
60,1466.57,0.60719,0.41098,0.89501,0.80947,0.65117,0.72009,0.40485,1.36053,0.96712,1.36037,0.0002765,0.0002765,0.0002765
61,1487.91,0.60531,0.40882,0.90228,0.79573,0.66077,0.73149,0.41673,1.34776,0.91408,1.34572,0.00026,0.00026,0.00026
62,1509.2,0.59644,0.40015,0.89581,0.78985,0.64693,0.71897,0.41394,1.3527,0.90813,1.34522,0.0002435,0.0002435,0.0002435
63,1530.24,0.58884,0.39484,0.89356,0.77075,0.65547,0.71453,0.41361,1.35693,0.94915,1.35115,0.000227,0.000227,0.000227
64,1551.65,0.5833,0.39353,0.88897,0.76363,0.66756,0.7167,0.41609,1.36296,0.90911,1.35677,0.0002105,0.0002105,0.0002105
65,1572.44,0.57669,0.39064,0.88588,0.82446,0.61507,0.70806,0.40375,1.36922,0.9851,1.35977,0.000194,0.000194,0.000194
66,1648.6,1.13797,0.80807,1.15504,0.75991,0.68241,0.72709,0.41812,1.36744,0.95334,1.3589,0.0001775,0.0001775,0.0001775
67,1669.48,1.07302,0.64076,1.1127,0.77957,0.69595,0.74511,0.42444,1.34039,0.88344,1.3314,0.000161,0.000161,0.000161
68,1689.3,1.05156,0.60791,1.0999,0.81908,0.69884,0.7435,0.42966,1.34659,0.88516,1.35745,0.0001445,0.0001445,0.0001445
69,1709.17,1.04083,0.59065,1.09493,0.80774,0.68805,0.75525,0.43965,1.32399,0.82534,1.33421,0.000128,0.000128,0.000128
70,1730.09,1.02965,0.5827,1.09226,0.81895,0.67821,0.75229,0.43882,1.31945,0.83111,1.32041,0.0001115,0.0001115,0.0001115
71,1750.97,1.00859,0.57181,1.06748,0.78967,0.6816,0.7475,0.43863,1.31571,0.81947,1.3236,9.5e-05,9.5e-05,9.5e-05
72,1771.69,1.00011,0.55185,1.06969,0.7933,0.66999,0.73969,0.43673,1.30326,0.84189,1.31022,7.85e-05,7.85e-05,7.85e-05
73,1792.31,0.98797,0.55489,1.06822,0.8004,0.67729,0.74503,0.43997,1.29757,0.83276,1.30726,6.2e-05,6.2e-05,6.2e-05
74,1813.19,0.97342,0.53213,1.05566,0.79921,0.69019,0.75426,0.44546,1.29399,0.8231,1.31074,4.55e-05,4.55e-05,4.55e-05
75,1834.29,0.97444,0.52881,1.05625,0.81789,0.6736,0.75067,0.44634,1.2891,0.81495,1.30821,2.9e-05,2.9e-05,2.9e-05
