epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,605.513,1.4935,1.85836,1.29331,0.61964,0.42033,0.47312,0.23446,1.57832,1.8676,1.38671,0.000414062,0.000414062,0.000414062
2,1262.16,1.53898,1.5532,1.32826,0.38821,0.38308,0.33979,0.16315,1.66929,3.34476,1.42016,0.000819764,0.000819764,0.000819764
3,2324.18,1.60618,1.60695,1.38182,0.55702,0.43604,0.45579,0.22072,1.69402,1.8688,1.49867,0.00121446,0.00121446,0.00121446
4,3376.5,1.5569,1.5143,1.33438,0.62041,0.48151,0.51749,0.26689,1.60006,1.62325,1.39175,0.0012005,0.0012005,0.0012005
5,4378.02,1.53621,1.42555,1.32574,0.63471,0.48465,0.52768,0.27866,1.57185,1.6874,1.35286,0.001184,0.001184,0.001184
